順位,初日,二日目,三日目,四日目,五日目,六日目,最終日
100,2509908,5356935,8421927,9959290,11874723,15754904,24990270
200,1736260,3708370,5494878,6577317,7560201,8268826,9232609
300,1366483,3049735,4502664,5473642,6255754,6985268,7894602
400,1154651,2570869,3918097,4799361,5618091,6363901,7331845
500,1026370,2297779,3429313,4268389,5162629,6017002,7055106
600,928182,2062212,3118022,3914167,4773272,5553954,6745587
700,825006,1920704,2874827,3703777,4481142,5313938,6622421
800,754885,1789470,2730055,3476346,4226241,5083537,6551162
1000,640897,1529506,2351461,3044127,3676000,4435796,6326789
1200,541863,1324419,2012601,2596569,3166582,3701825,4361941
1500,423954,1063014,1679829,2165951,2696997,3246866,4063779
1800,352473,888358,1450064,1907840,2437204,2961788,3950458
2000,312416,801125,1330721,1774464,2260237,2817165,3907553
2200,284738,715165,1206443,1625480,2112696,2657628,3849482
2500,244098,599918,1004617,1360539,1754359,2140566,2919345
4000,124279,293053,495320,687989,889861,1098123,1456957
5000,92500,207554,356547,498152,661864,832609,1157221
7500,53139,119958,199851,279135,373566,479479,662925
10000,37985,88183,142109,203135,265987,335804,449620
15000,25170,59852,97570,136368,178453,225555,297874
20000,19083,45959,75243,103756,133677,167720,225530
