順位,初日,二日目,三日目,四日目,五日目,六日目,最終日
100,1251835,3088171,4752698,6715586,9697696,12910675,21394876
200,859521,1962733,3087331,4134538,5148633,5793376,6563500
300,730993,1632529,2499173,3399058,4303397,4984484,5700523
400,600164,1384678,2117022,2865328,3688876,4453822,5333097
500,539885,1222548,1894199,2626595,3394163,4129758,5127923
600,472119,1085086,1717003,2358350,3113801,3815141,4918645
800,401022,917721,1445790,2020470,2590085,3135480,4654058
900,368295,863357,1340210,1857606,2366650,2785378,3351032
1000,340026,796405,1243365,1706961,2192444,2574274,3101310
1100,315410,738806,1160390,1593208,2052319,2432269,2995530
1200,292199,680407,1078737,1515379,1947616,2345410,2944948
1400,253341,596555,957549,1357821,1783854,2190265,2694654
1700,213797,504427,828492,1192039,1597523,2024632,2845972
2000,182727,436503,720954,1066413,1448515,1848332,2797791
2500,140871,331924,543735,802372,1078876,1359112,1882444
3000,111450,255900,417638,615618,817893,1010805,1369545
4000,76237,168705,271241,393061,527631,676847,959534
5000,56245,123053,197043,281841,382031,487368,687741
8000,32539,71595,111970,157049,209623,263507,351289
12000,22212,50958,79643,110092,144473,179656,231716
17000,16200,38149,59718,82554,107401,132731,175392
